{'participant':	u'12345'		'response_buttons':	u'DC'		'range_in_instr':	True		'dateStr':	u'05_09_1428'		'autopilot':	False		'exp_id':	u'SNARC'}
12345	SNARC_only	DC	5	lctrl	0.6924118996											
12345	SNARC_only	DC	9	num_separator	0.9332990646											
12345	SNARC_only	DC	9	lctrl	0.5017418861											
12345	SNARC_only	DC	7	lctrl	0.5828588009											
12345	SNARC_only	DC	8	num_separator	0.5428950787											
12345	SNARC_only	DC	8	num_separator	0.3836219311											
12345	SNARC_only	DC	6	num_separator	0.5050890446											
12345	SNARC_only	DC	1	lctrl	1.4638388157											
12345	SNARC_only	DC	9	lctrl	0.5027050972											
12345	SNARC_only	DC	9	lctrl	0.3517520428											
12345	SNARC_only	DC	5	lctrl	0.547066927											
12345	SNARC_only	DC	1	lctrl	0.7357928753											
12345	SNARC_only	DC	4	num_separator	0.5815520287											
12345	SNARC_only	DC	8	num_separator	1.8950901032											
12345	SNARC_only	DC	8	num_separator	0.3828048706											
12345	SNARC_only	DC	5	lctrl	0.5252971649											
12345	SNARC_only	DC	5	lctrl	0.3893969059											
12345	SNARC_only	DC	6	num_separator	0.5377249718											
12345	SNARC_only	DC	2	lctrl	0.5060288906											
12345	SNARC_only	DC	5	lctrl	0.3821001053											
12345	SNARC_only	DC	4	num_separator	0.4647619724											
12345	SNARC_only	DC	2	num_separator	0.5811839104											
12345	SNARC_only	DC	7	lctrl	0.5025858879											
12345	SNARC_only	DC	8	num_separator	0.5017571449											
12345	SNARC_only	DC	6	num_separator	0.5829820633											
12345	SNARC_only	DC	3	lctrl	0.3496160507											
12345	SNARC_only	DC	5	num_separator	0.4676229954											
12345	SNARC_only	DC	1	lctrl	0.5067279339											
12345	SNARC_only	DC	3	lctrl	0.3780560493											
12345	SNARC_only	DC	5	lctrl	0.4994220734											
12345	SNARC_only	DC	9	lctrl	0.6191868782											
12345	SNARC_only	DC	1	lctrl	0.5440449715											
12345	SNARC_only	DC	4	num_separator	0.4619929791											
12345	SNARC_only	DC	9	lctrl	0.5011248589											
12345	SNARC_only	DC	3	lctrl	0.4273500443											
12345	SNARC_only	DC	9	lctrl	0.4630858898											
12345	SNARC_only	DC	7	lctrl	0.3473689556											
12345	SNARC_only	DC	1	lctrl	0.4653759003											
12345	SNARC_only	DC	2	num_separator	0.5817689896											
12345	SNARC_only	DC	1	lctrl	0.7738969326											
12345	SNARC_only	DC	5	lctrl	0.4682068825											
12345	SNARC_only	DC	5	lctrl	0.3528110981											
12345	SNARC_only	DC	7	lctrl	0.4976739883											
12345	SNARC_only	DC	9	lctrl	0.5013401508											
12345	SNARC_only	DC	9	lctrl	0.3071088791											
12345	SNARC_only	DC	1	lctrl	0.576374054											
12345	SNARC_only	DC	2	num_separator	0.4590408802											
12345	SNARC_only	DC	3	lctrl	0.4980750084											
12345	SNARC_only	DC	4	num_separator	0.6178519726											
12345	SNARC_only	DC	7	lctrl	0.4652628899											
12345	SNARC_only	DC	9	lctrl	0.4655389786											
12345	SNARC_only	DC	4	num_separator	0.5046768188											
12345	SNARC_only	DC	3	lctrl	0.5083780289											
12345	SNARC_only	DC	5	lctrl	0.5003077984											
12345	SNARC_only	DC	5	lctrl	0.3834650517											
12345	SNARC_only	DC	2	num_separator	0.8528521061											
12345	SNARC_only	DC	2	num_separator	0.3876469135											
12345	SNARC_only	DC	8	num_separator	0.4200680256											
12345	SNARC_only	DC	9	lctrl	0.4929130077											
12345	SNARC_only	DC	9	lctrl	0.4697618485											
12345	SNARC_only	DC	9	lctrl	0.342400074											
12345	SNARC_only	DC	1	lctrl	0.4989860058											
12345	SNARC_only	DC	3	lctrl	0.4253921509											
12345	SNARC_only	DC	4	num_separator	0.4223651886											
12345	SNARC_only	DC	4	num_separator	0.4310860634											
12345	SNARC_only	DC	3	lctrl	0.4281020164											
12345	SNARC_only	DC	9	num_separator	0.5410699844											
12345	SNARC_only	DC	3	lctrl	1.2711451054											
12345	SNARC_only	DC	1	lctrl	0.653069973											
12345	SNARC_only	DC	2	num_separator	0.6973381042											
12345	SNARC_only	DC	2	num_separator	0.462364912											
12345	SNARC_only	DC	6	num_separator	0.7334060669											
12345	SNARC_only	DC	4	num_separator	0.5018930435											
12345	SNARC_only	DC	1	lctrl	0.5830049515											
12345	SNARC_only	DC	6	num_separator	0.6591219902											
12345	SNARC_only	DC	1	lctrl	0.5321559906											
12345	SNARC_only	DC	4	num_separator	0.6166448593											
{'participant':	u'12345'		'response_buttons':	u'DC'		'range_in_instr':	True		'dateStr':	u'05_09_1440'		'autopilot':	False		'exp_id':	u'SNARC'}
{'participant':	u'12345'		'response_buttons':	u'CD'		'range_in_instr':	True		'dateStr':	u'05_09_1440'		'autopilot':	False		'exp_id':	u'SNARC'}
12345	SNARC_only	CD	7	num_separator	1.6088039875											
12345	SNARC_only	CD	3	num_separator	0.5838170052											
12345	SNARC_only	CD	1	num_separator	0.5827770233											
12345	SNARC_only	CD	8	lctrl	0.9295840263											
12345	SNARC_only	CD	2	lctrl	0.4161109924											
12345	SNARC_only	CD	5	num_separator	1.1163680553											
12345	SNARC_only	CD	1	num_separator	0.4696369171											
12345	SNARC_only	CD	1	num_separator	0.3422658443											
12345	SNARC_only	CD	9	num_separator	0.5245420933											
12345	SNARC_only	CD	5	num_separator	0.3887729645											
12345	SNARC_only	CD	6	num_separator	0.4597468376											
12345	SNARC_only	CD	9	num_separator	0.6535599232											
12345	SNARC_only	CD	5	num_separator	0.427052021											
12345	SNARC_only	CD	3	num_separator	0.6174330711											
12345	SNARC_only	CD	4	lctrl	0.567748785											
12345	SNARC_only	CD	5	num_separator	0.5782389641											
12345	SNARC_only	CD	2	lctrl	0.57701087											
12345	SNARC_only	CD	4	lctrl	1.0784561634											
12345	SNARC_only	CD	8	lctrl	0.3896229267											
12345	SNARC_only	CD	7	num_separator	0.5766119957											
12345	SNARC_only	CD	5	num_separator	1.3488280773											
12345	SNARC_only	CD	3	num_separator	0.4667570591											
12345	SNARC_only	CD	1	num_separator	0.5445010662											
12345	SNARC_only	CD	2	lctrl	0.5398759842											
12345	SNARC_only	CD	5	num_separator	0.6243219376											
12345	SNARC_only	CD	1	num_separator	0.7693581581											
12345	SNARC_only	CD	5	num_separator	0.6185221672											
12345	SNARC_only	CD	7	num_separator	0.5045850277											
12345	SNARC_only	CD	8	lctrl	0.6584610939											
12345	SNARC_only	CD	4	lctrl	0.6522259712											
12345	SNARC_only	CD	6	lctrl	0.4209811687											
12345	SNARC_only	CD	9	num_separator	0.7777309418											
12345	SNARC_only	CD	6	lctrl	1.0404100418											
12345	SNARC_only	CD	7	num_separator	0.5029809475											
12345	SNARC_only	CD	7	num_separator	0.4680919647											
12345	SNARC_only	CD	9	num_separator	0.7391760349											
12345	SNARC_only	CD	4	lctrl	0.5849010944											
12345	SNARC_only	CD	7	num_separator	0.6996350288											
12345	SNARC_only	CD	4	num_separator	0.774132967											
12345	SNARC_only	CD	1	num_separator	0.5846581459											
12345	SNARC_only	CD	3	num_separator	0.4673728943											
12345	SNARC_only	CD	2	lctrl	0.5451748371											
12345	SNARC_only	CD	7	num_separator	0.5018589497											
12345	SNARC_only	CD	3	num_separator	0.8149502277											
12345	SNARC_only	CD	9	num_separator	0.6557939053											
12345	SNARC_only	CD	4	lctrl	0.5066239834											
12345	SNARC_only	CD	8	lctrl	0.7306079865											
12345	SNARC_only	CD	7	num_separator	0.6538629532											
12345	SNARC_only	CD	7	num_separator	0.4272630215											
12345	SNARC_only	CD	6	lctrl	0.5403361321											
12345	SNARC_only	CD	1	num_separator	0.6129820347											
12345	SNARC_only	CD	8	lctrl	0.8471529484											
12345	SNARC_only	CD	2	lctrl	0.536591053											
12345	SNARC_only	CD	6	lctrl	0.5050449371											
12345	SNARC_only	CD	2	lctrl	0.4583339691											
12345	SNARC_only	CD	9	num_separator	0.5747361183											
12345	SNARC_only	CD	4	lctrl	0.6626441479											
12345	SNARC_only	CD	9	num_separator	0.6818230152											
12345	SNARC_only	CD	9	num_separator	0.5228779316											
12345	SNARC_only	CD	3	lctrl	0.5031700134											
12345	SNARC_only	CD	8	lctrl	0.4295442104											
12345	SNARC_only	CD	1	num_separator	0.465241909											
12345	SNARC_only	CD	1	num_separator	0.4656059742											
12345	SNARC_only	CD	6	lctrl	0.5433659554											
12345	SNARC_only	CD	7	num_separator	0.7706999779											
12345	SNARC_only	CD	6	lctrl	0.6154210567											
